title,postal_code,beds,baths,sq_feet,price
House for sale,94118,3.0,1.0,1100.0,948000.0
House for sale,94118,2.0,1.0,840.0,838000.0
House for sale,94118,5.0,2.0,2233.0,2000000.0
House for sale,94118,12.0,4.0,4893.0,2500000.0
House for sale,94118,6.0,3.0,2330.0,1595000.0
House for sale,94118,7.0,6.0,4545.0,4995000.0
House for sale,94118,6.0,8.0,8930.0,25000000.0
Condo for sale,94118,2.0,2.0,2025.0,2595000.0
House for sale,94118,4.0,2.0,3632.0,2450000.0
House for sale,94118,4.0,2.0,2130.0,2095000.0
Under Contract,94118,2.0,2.0,1857.1671,1068000.0
Condo for sale,94118,3.0,2.0,1600.0,1500000.0
House for sale,94118,2.0,2.0,2620.0,1950000.0
House for sale,94118,5.0,4.0,3550.0,4200000.0
Under Contract,94118,2.0,2.0,1470.0,1395000.0
House for sale,94118,5.0,4.0,1857.1671,2850000.0
Condo for sale,94118,2.0,2.0,950.0,995000.0
House for sale,94118,5.0,4.0,5876.0,4900000.0
House for sale,94118,6.0,7.0,10040.0,20000000.0
House for sale,94118,4.0,3.0,4609.0,8495000.0
Multi-family home for sale,94118,2.0,2.0,3550.0,4200000.0
House for sale,94118,4.0,2.0,3276.0,1999000.0
House for sale,94118,9.0,6.0,5640.0,3595000.0
House for sale,94118,5.0,2.0,3635.0,2150000.0
House for sale,94118,22.0,2.0,13252.0,7700000.0
House for sale,94118,5.0,4.0,3118.0,1690000.0
Condo for sale,94118,2.0,2.0,1857.1671,575000.0
Condo for sale,94108,2.0,3.0,1961.0,3195000.0
Condo for sale,94108,3.0,4.0,2780.0,6950000.0
Condo for sale,94108,2.0,3.0,2780.0,7500000.0
House for sale,94108,9.0,2.0,7928.0,4080000.0
Condo for sale,94108,2.0,1.0,353.0,515000.0
Condo for sale,94108,2.0,1.0,366.0,508000.0
Condo for sale,94108,1.0,1.0,750.0,719000.0
Condo for sale,94108,1.0,1.0,1056.0,1095000.0
Condo for sale,94108,2.0,2.0,1428.0,1395000.0
House for sale,94108,3.0,4.0,2412.0,4000000.0
Condo for sale,94108,2.0,2.0,1857.1671,1250000.0
Condo for sale,94108,1.0,1.0,900.0,785000.0
House for sale,94108,3.0,3.0,2571.0,3200000.0
Condo for sale,94108,2.0,1.0,437.0,545000.0
Townhouse for sale,94108,3.0,4.0,3465.0,3450000.0
Condo for sale,94108,1.0,1.0,705.0,795000.0
Condo for sale,94108,2.0,2.0,1399.0,1645000.0
Condo for sale,94108,2.0,2.0,2027.0,3795000.0
House for sale,94108,2.0,2.0,1729.0,2525000.0
House for sale,94108,4.0,3.0,4822.0,8250000.0
House for sale,94108,2.0,2.0,3600.0,2480000.0
Condo for sale,94108,2.0,1.0,411.0,545000.0
Condo for sale,94108,4.0,4.0,2454.0,2800000.0
Condo for sale,94107,3.0,3.0,1642.0,1245000.0
Condo for sale,94107,3.0,1.0,1297.0,1050000.0
Condo for sale,94107,2.0,2.0,1763.0,1450000.0
Condo for sale,94107,1.0,2.0,860.0,875000.0
Condo for sale,94107,1.0,1.0,887.0,898000.0
Condo for sale,94107,1.0,1.0,866.0,998000.0
Condo for sale,94107,2.0,2.0,1520.0,1495000.0
Condo for sale,94107,2.0,1.0,592.0,645000.0
Condo for sale,94107,1.0,2.0,1030.0,975000.0
House for sale,94107,3.0,2.0,1605.0,1649000.0
House for sale,94107,3.0,2.0,1191.0,1349000.0
House for sale,94107,7.0,7.0,5247.0,2549000.0
House for sale,94107,1.0,1.0,368.0,298000.0
Condo for sale,94107,2.0,2.0,1892.0,2399000.0
Condo for sale,94107,2.0,2.0,1560.0,2399000.0
Condo for sale,94107,2.0,3.0,1234.0,1589000.0
Condo for sale,94107,1.0,2.0,908.0,1049000.0
Condo for sale,94107,2.0,2.0,1442.0,1349000.0
Condo for sale,94107,1.0,1.0,814.0,749000.0
Townhouse for sale,94107,1.0,1.0,950.0,899000.0
Condo for sale,94107,1.0,1.0,896.0,898888.0
Condo for sale,94107,2.0,2.0,1230.0,1239000.0
Condo for sale,94107,1.0,1.0,485.0,263033.0
Condo for sale,94107,2.0,2.0,924.0,1350000.0
Condo for sale,94107,2.0,2.0,964.0,1190000.0
House for sale,94107,8.0,3.0,5040.0,3200000.0
Condo for sale,94107,1.0,1.0,691.0,749000.0
Condo for sale,94107,2.0,2.0,1225.0,1249000.0
Condo for sale,94107,1.0,1.0,1857.1671,749000.0
Under Contract,94107,2.0,2.0,1344.0,1349000.0
Condo for sale,94111,1.0,1.0,1006.0,960000.0
Condo for sale,94111,2.0,2.0,1532.0,1450000.0
Condo for sale,94111,1.0,1.0,1030.0,949000.0
Condo for sale,94111,1.0,1.0,503.0,569000.0
Condo for sale,94111,1.0,1.0,580.0,552000.0
Under Contract,94111,1.0,2.0,840.0,1100000.0
House for sale,94111,2.0,2.0,1857.1671,12000000.0
House for sale,94111,2.0,2.0,1857.1671,5000000.0
Condo for sale,94111,1.0,1.0,709.0,634500.0
Condo for sale,94111,1.0,1.0,580.0,529000.0
Condo for sale,94111,2.0,2.0,1719.0,1669000.0
Under Contract,94111,1.0,1.0,580.0,520000.0
Condo for sale,94111,1.0,1.0,989.0,979000.0
Under Contract,94111,1.0,1.0,617.0,529000.0
Under Contract,94111,1.0,1.0,620.0,589000.0
Condo for sale,94111,1.0,1.0,566.0,555000.0
Condo for sale,94111,2.0,2.0,1423.0,1295000.0
House for sale,94112,5.0,4.0,2753.0,2249000.0
Condo for sale,94112,4.0,2.0,2444.0,1388000.0
House for sale,94112,4.0,3.0,1660.0,899000.0
House for sale,94112,4.0,3.0,2760.0,1100000.0
House for sale,94112,4.0,4.0,2250.0,1395000.0
House for sale,94112,3.0,2.0,1083.0,949000.0
House for sale,94112,4.0,4.0,4040.0,995000.0
Lot / Land for sale,94112,2.0,2.0,1857.1671,559000.0
House for sale,94112,4.0,3.0,2050.0,1250000.0
House for sale,94112,5.0,3.0,2344.0,1388000.0
Under Contract,94112,2.0,1.0,850.0,959000.0
House for sale,94112,5.0,2.0,2344.0,1388000.0
Under Contract,94112,4.0,3.0,1995.0,1599000.0
Under Contract,94112,3.0,2.0,1278.0,1200000.0
House for sale,94112,5.0,4.0,1729.0,1495000.0
House for sale,94112,5.0,5.0,2083.0,1099000.0
House for sale,94112,5.0,3.0,1820.0,1399000.0
Under Contract,94112,3.0,1.0,950.0,1195000.0
House for sale,94112,4.0,3.0,2337.0,1399000.0
House for sale,94112,5.0,2.0,2100.0,1095000.0
House for sale,94112,5.0,5.0,3092.0,1725000.0
Under Contract,94112,2.0,2.0,1857.1671,1285000.0
Multi-family home for sale,94112,4.0,2.0,1400.0,989000.0
Multi-family home for sale,94112,12.0,2.0,11146.0,4988000.0
Under Contract,94112,18.0,2.0,10641.0,3895000.0
Multi-family home for sale,94112,5.0,3.0,2250.0,950000.0
Under Contract,94112,3.0,4.0,2785.0,1495000.0
Condo for sale,94112,2.0,2.0,1387.0,879000.0
House for sale,94112,2.0,1.0,2136.0,1499999.0
House for sale,94110,3.0,2.0,1518.0,2325000.0
House for sale,94110,3.0,2.0,1450.0,1190000.0
Condo for sale,94110,2.0,1.0,842.0,759000.0
House for sale,94110,3.0,2.0,1475.0,1295000.0
Condo for sale,94110,1.0,2.0,1003.0,1099000.0
House for sale,94110,3.0,2.0,1250.0,1249000.0
Condo for sale,94110,2.0,2.0,1056.0,1249000.0
Condo for sale,94110,2.0,2.0,1562.0,1595000.0
House for sale,94110,2.0,3.0,2011.0,1095000.0
Under Contract,94110,1.0,2.0,1121.0,1550000.0
House for sale,94110,4.0,1.0,6350.0,2600000.0
House for sale,94110,8.0,1.0,2625.0,1200000.0
House for sale,94110,4.0,2.0,1990.0,1498000.0
House for sale,94110,2.0,2.0,1300.0,1098000.0
Condo for sale,94110,2.0,2.0,1162.0,998000.0
House for sale,94110,3.0,3.0,2262.0,1750000.0
Condo for sale,94110,2.0,1.0,1075.0,865000.0
Under Contract,94110,3.0,2.0,1857.1671,1495000.0
House for sale,94110,3.0,2.0,1857.1671,1195000.0
Condo for sale,94110,2.0,2.0,1570.0,1595000.0
Condo for sale,94110,2.0,2.0,1857.1671,1250000.0
Under Contract,94110,2.0,1.0,993.0,949000.0
Condo for sale,94110,2.0,2.0,1058.0,999000.0
House for sale,94110,4.0,2.0,2700.0,1695000.0
House for sale,94110,2.0,2.0,5990.0,3000000.0
Condo for sale,94110,3.0,3.0,1713.0,1795000.0
New construction,94110,3.0,4.0,1975.0,2495000.0
New construction,94110,1.0,1.0,1857.1671,745000.0
House for sale,94110,8.0,5.0,4585.0,2150000.0
House for sale,94110,2.0,1.0,1857.1671,939000.0
House for sale,94110,4.0,4.0,1857.1671,4995000.0
Under Contract,94110,2.0,1.0,1334.0,1195000.0
Condo for sale,94109,1.0,1.0,653.0,649000.0
Under Contract,94109,2.0,1.0,852.0,1400000.0
Condo for sale,94109,1.0,1.0,616.0,599000.0
Condo for sale,94109,3.0,2.0,1258.0,1349000.0
Condo for sale,94109,2.0,2.0,1382.0,950000.0
Condo for sale,94109,1.0,1.0,805.0,849000.0
Condo for sale,94109,2.0,2.0,989.0,1298000.0
Under Contract,94109,2.0,2.0,1630.0,1190000.0
Condo for sale,94109,2.0,2.0,479.0,356509.0
Condo for sale,94109,2.0,1.0,1857.1671,649000.0
Condo for sale,94109,1.0,1.0,700.0,828000.0
Condo for sale,94109,2.0,2.0,1500.0,1495000.0
Condo for sale,94109,1.0,1.0,629.0,599000.0
Condo for sale,94109,2.0,2.0,1630.0,2195000.0
House for sale,94109,4.0,4.0,4500.0,6795000.0
Condo for sale,94109,2.0,2.0,1110.0,1500000.0
Condo for sale,94109,1.0,1.0,775.0,799000.0
Condo for sale,94109,2.0,2.0,1065.0,999000.0
Condo for sale,94109,2.0,2.0,1402.0,2050000.0
Condo for sale,94109,2.0,2.0,816.0,799000.0
House for sale,94109,2.0,1.0,5235.0,599000.0
Condo for sale,94109,1.0,2.0,834.0,875000.0
Condo for sale,94109,4.0,1.0,2627.0,1649000.0
Condo for sale,94109,1.0,2.0,1450.0,1295000.0
Condo for sale,94109,2.0,2.0,1326.0,1699000.0
Condo for sale,94109,2.0,1.0,998.0,1450000.0
House for sale,94109,8.0,2.0,4940.0,2950000.0
Condo for sale,94109,1.0,1.0,632.0,575000.0
Condo for sale,94109,3.0,2.0,1100.0,795000.0
Condo for sale,94109,1.0,1.0,624.0,699000.0
Condo for sale,94109,2.0,2.0,1248.0,1350000.0
Condo for sale,94109,3.0,3.0,3456.0,6500000.0
Condo for sale,94109,1.0,1.0,532.0,399273.0
House for sale,94109,12.0,4.0,8895.0,4895000.0
New construction,94109,3.0,3.0,2076.0,3750000.0
Condo for sale,94109,1.0,1.0,625.0,899000.0
House for sale,94114,2.0,1.0,1857.1671,975000.0
House for sale,94114,2.0,2.0,1857.1671,1650000.0
House for sale,94114,4.0,2.0,3160.0,2195000.0
House for sale,94114,4.0,2.0,2112.0,1895000.0
House for sale,94114,3.0,3.0,800.0,1000000.0
Condo for sale,94114,3.0,2.0,1605.0,1799000.0
Condo for sale,94114,2.0,2.0,1857.1671,1849000.0
House for sale,94114,4.0,3.0,2353.0,2200000.0
Condo for sale,94114,2.0,2.0,1762.0,1497000.0
House for sale,94114,4.0,2.0,2576.0,1650000.0
House for sale,94114,3.0,2.0,1687.0,1850000.0
House for sale,94114,1.0,2.0,1036.0,1050000.0
House for sale,94114,4.0,4.0,3371.0,4395000.0
Condo for sale,94114,3.0,3.0,1859.0,2275000.0
House for sale,94114,2.0,2.0,1100.0,1375000.0
Under Contract,94114,1.0,2.0,1005.0,975000.0
House for sale,94114,5.0,5.0,3860.0,5500000.0
Under Contract,94114,4.0,3.0,2728.0,2750000.0
Condo for sale,94114,3.0,1.0,1675.0,1595000.0
House for sale,94114,2.0,1.0,1857.1671,888000.0
House for sale,94114,4.0,5.0,2893.0,3995000.0
House for sale,94114,2.0,2.0,1857.1671,1550000.0
House for sale,94114,5.0,5.0,5400.0,2395000.0
House for sale,94114,5.0,5.0,5400.0,2395000.0
House for sale,94114,3.0,3.0,3003.0,4849000.0
Condo for sale,94114,4.0,2.0,2128.0,1300000.0
House for sale,94114,5.0,1.0,2500.0,2800000.0
Condo for sale,94114,2.0,2.0,1528.0,1298000.0
Under Contract,94114,2.0,2.0,1682.0,1100000.0
Under Contract,94114,1.0,1.0,866.0,825000.0
House for sale,94114,3.0,2.0,1458.0,1998000.0
Under Contract,94114,2.0,1.0,1100.0,1195000.0
House for sale,94114,2.0,2.0,1273.0,1825000.0
House for sale,94114,3.0,3.0,1857.1671,2600000.0
House for sale,94114,3.0,1.0,1312.0,1249000.0
Under Contract,94114,2.0,1.0,1014.0,750000.0
House for sale,94114,3.0,2.0,1857.1671,1995000.0
Under Contract,94114,5.0,6.0,4538.0,5495000.0
New construction,94117,1.0,1.0,1857.1671,1095000.0
