,title,postal_code,provider,beds,baths,sq_feet,price,,,,,postal_code,price,,postal_code,mean_price,,,
253,Condo for sale,94115,Vanguard Properties,1,1,810,899000,,,,,94115,899000,,,,,,
254,House for sale,94115,Corcoran Global Living,2,2,0,1177000,,,,,94115,1177000,,,,,,
255,Condo for sale,94115,Sequoia Real Estate,1,1,740,343558,,,,,94115,343558,,,,,,
259,House for sale,94115,"Andersen, Jung & Co.",9,7,3271,3999000,,,,,94115,3999000,,,,,,
260,Condo for sale,94115,Sotheby's International Realty,5,4,5180,7950000,,,,,94115,7950000,,,,,,
261,House for sale,94115,Sotheby's International Realty,4,4,3445,3499000,,,,,94115,3499000,,,,,,
262,Condo for sale,94115,Sotheby's International Realty,3,4,2680,4695000,,,,,94115,4695000,,,,,,
263,Condo for sale,94115,Marker Real Estate,1,1,653,674000,,,,,94115,674000,,,,,,
264,Condo for sale,94115,Sotheby's International Realty,1,2,1172,1170000,,,,,94115,1170000,,,,,,
265,Condo for sale,94115,Sotheby's International Realty,2,2,1496,1645000,,,,,94115,1645000,,,,,,
266,House for sale,94115,Sotheby's International Realty,2,3,0,2500000,,,,,94115,2500000,,,,,,
267,House for sale,94115,Vanguard Properties,4,2,1770,1650000,,,,,94115,1650000,,,,,,
268,Condo for sale,94115,Compass,3,3,2117,2690000,,,,,94115,2690000,,,,,,
269,Under Contract,94115,Compass SF,0,1,0,630000,,,,,94115,630000,,,,,,
270,Condo for sale,94115,Sotheby's International Realty,2,3,1332,1499000,,,,,94115,1499000,,,,,,
271,Condo for sale,94115,Artemis Real Estate,3,3,2220,1995000,,,,,94115,1995000,,,,,,
272,House for sale,94115,Compass,5,3,3400,3250000,,,,,94115,3250000,,,,,,
273,Under Contract,94115,Compass,1,1,550,499000,,,,,94115,499000,,,,,,
274,Condo for sale,94118,Coldwell Banker Realty,2,2,1120,1001150,,,,,94118,1001150,,,,,,
275,Condo for sale,94118,Corcoran Global Living,3,3,0,1950000,,,,,94118,1950000,,,,,,
276,Condo for sale,94118,Compass,3,3,2291,1895000,,,,,94118,1895000,,,,,,
277,Condo for sale,94118,Keller Williams San Francisco,4,3,2700,2495000,,,,,94118,2495000,,,,,,
278,House for sale,94118,Compass,3,1,1100,948000,,,,,94118,948000,,,,,,
279,House for sale,94118,Compass,2,1,840,838000,,,,,94118,838000,,,,,,
280,House for sale,94118,Keller Williams San Francisco,5,2,2233,2000000,,,,,94118,2000000,,,,,,
281,House for sale,94118,Compass SF,10,4,4893,2500000,,,,,94118,2500000,,,,,,
282,House for sale,94118,Redmond Realty,6,3,2330,1595000,,,,,94118,1595000,,,,,,
283,House for sale,94118,Corcoran Global Living,7,6,4545,4995000,,,,,94118,4995000,,,,,,
284,House for sale,94118,Compass,6,8,8930,25000000,,,,,94118,25000000,,,,,,
285,Condo for sale,94118,Sotheby's International Realty,2,2,2025,2595000,,,,,94118,2595000,,,,,,
286,House for sale,94118,Compass,4,0,3632,2450000,,,,,94118,2450000,,,,,,
287,House for sale,94118,BarbCo,4,2,2130,2095000,,,,,94118,2095000,,,,,,
288,Under Contract,94118,Compass,2,2,0,1068000,,,,,94118,1068000,,,,,,
290,Condo for sale,94118,Compass,3,2,1600,1500000,,,,,94118,1500000,,,,,,
291,House for sale,94118,Salma & Company,0,0,2620,1950000,,,,,94118,1950000,,,,,,
292,House for sale,94118,Compass,5,4,3550,4200000,,,,,94118,4200000,,,,,,
293,Under Contract,94118,Mosaik Real Estate,2,2,1470,1395000,,,,,94118,1395000,,,,,,
294,House for sale,94118,Compass,5,4,0,2850000,,,,,94118,2850000,,,,,,
295,Condo for sale,94118,Better Homes and Gardens Thriv,2,2,950,995000,,,,,94118,995000,,,,,,
296,House for sale,94118,Sotheby's International Realty,5,4,5876,4900000,,,,,94118,4900000,,,,,,
297,House for sale,94118,Compass,6,7,10040,20000000,,,,,94118,20000000,,,,,,
298,House for sale,94118,Sotheby's International Realty,4,3,4609,8495000,,,,,94118,8495000,,,,,,
299,Multi-family home for sale,94118,Compass,0,0,3550,4200000,,,,,94118,4200000,,,,,,
300,House for sale,94118,Sotheby's International Realty,4,2,3276,1999000,,,,,94118,1999000,,,,,,
301,House for sale,94118,Venture Properties,9,6,5640,3595000,,,,,94118,3595000,,,,,,
302,House for sale,94118,Laurel Properties,5,0,3635,2150000,,,,,94118,2150000,,,,,,
303,House for sale,94118,Laurel Realty & Investment,20,0,13252,7700000,,,,,94118,7700000,,,,,,
304,House for sale,94118,Compass,5,4,3118,1690000,,,,,94118,1690000,,,,,,
305,Condo for sale,94118,Compass,0,0,0,575000,,,,,94118,575000,,,,,,
307,Condo for sale,94108,GPK Luxury Real Estate,2,3,1961,3195000,,,,,94108,3195000,,,,,,
308,Condo for sale,94108,GPK Luxury Real Estate,3,4,2780,6950000,,,,,94108,6950000,,,,,,
309,Condo for sale,94108,Sotheby's International Realty,2,3,2780,7500000,,,,,94108,7500000,,,,,,
310,House for sale,94108,Colliers International,9,0,7928,4080000,,,,,94108,4080000,,,,,,
311,Condo for sale,94108,Sotheby's International Realty,0,1,353,515000,,,,,94108,515000,,,,,,
312,Condo for sale,94108,Coldwell Banker Realty,0,1,366,508000,,,,,94108,508000,,,,,,
313,Condo for sale,94108,Berkshire Hathaway Drysdale Pr,1,1,750,719000,,,,,94108,719000,,,,,,
314,Condo for sale,94108,GPK Luxury Real Estate,1,1,1056,1095000,,,,,94108,1095000,,,,,,
315,Condo for sale,94108,Vanguard Properties,2,2,1428,1395000,,,,,94108,1395000,,,,,,
316,House for sale,94108,Sotheby's International Realty,3,4,2412,4000000,,,,,94108,4000000,,,,,,
317,Condo for sale,94108,Coldwell Banker Realty,2,2,0,1250000,,,,,94108,1250000,,,,,,
318,Condo for sale,94108,North Point Real Estate,1,1,900,785000,,,,,94108,785000,,,,,,
319,House for sale,94108,Compass,3,3,2571,3200000,,,,,94108,3200000,,,,,,
320,Condo for sale,94108,GPK Luxury Real Estate,0,1,437,545000,,,,,94108,545000,,,,,,
321,Townhouse for sale,94108,Sotheby's International Realty,3,4,3465,3450000,,,,,94108,3450000,,,,,,
322,Condo for sale,94108,Coldwell Banker Realty,1,1,705,795000,,,,,94108,795000,,,,,,
323,Condo for sale,94108,GPK Luxury Real Estate,2,2,1399,1645000,,,,,94108,1645000,,,,,,
324,Condo for sale,94108,GPK Luxury Real Estate,2,2,2027,3795000,,,,,94108,3795000,,,,,,
325,House for sale,94108,Sotheby's International Realty,2,2,1729,2525000,,,,,94108,2525000,,,,,,
326,House for sale,94108,Sotheby's International Realty,4,3,4822,8250000,,,,,94108,8250000,,,,,,
327,House for sale,94108,Marcus & Millichap,0,0,3600,2480000,,,,,94108,2480000,,,,,,
328,Condo for sale,94108,Sotheby's International Realty,0,1,411,545000,,,,,94108,545000,,,,,,
329,Condo for sale,94108,Coldwell Banker Realty,4,4,2454,2800000,,,,,94108,2800000,,,,,,
332,Condo for sale,94107,Vanguard Properties,3,3,1642,1245000,,,,,94107,1245000,,,,,,
333,Condo for sale,94107,Compass,3,1,1297,1050000,,,,,94107,1050000,,,,,,
334,Condo for sale,94107,Inspire Real Estate,2,2,1763,1450000,,,,,94107,1450000,,,,,,
336,Condo for sale,94107,Coldwell Banker Realty,1,2,860,875000,,,,,94107,875000,,,,,,
337,Condo for sale,94107,Corcoran Global Living,1,1,887,898000,,,,,94107,898000,,,,,,
338,Condo for sale,94107,Corcoran Global Living,1,1,866,998000,,,,,94107,998000,,,,,,
339,Condo for sale,94107,Compass,2,2,1520,1495000,,,,,94107,1495000,,,,,,
340,Condo for sale,94107,Compass SF,0,1,592,645000,,,,,94107,645000,,,,,,
341,Condo for sale,94107,Redfin,1,2,1030,975000,,,,,94107,975000,,,,,,
345,House for sale,94107,Compass,3,2,1605,1649000,,,,,94107,1649000,,,,,,
346,House for sale,94107,Compass,3,2,1191,1349000,,,,,94107,1349000,,,,,,
348,House for sale,94107,Corcoran Global Living,7,7,5247,2549000,,,,,94107,2549000,,,,,,
349,House for sale,94107,Harper Real Estate,1,1,368,298000,,,,,94107,298000,,,,,,
350,Condo for sale,94107,BarbCo,2,2,1892,2399000,,,,,94107,2399000,,,,,,
351,Condo for sale,94107,Vanguard Properties,2,2,1560,2399000,,,,,94107,2399000,,,,,,
354,Condo for sale,94107,Compass SF,2,3,1234,1589000,,,,,94107,1589000,,,,,,
355,Condo for sale,94107,"JSL Realty, Inc.",1,2,908,1049000,,,,,94107,1049000,,,,,,
356,Condo for sale,94107,AMSI,2,2,1442,1349000,,,,,94107,1349000,,,,,,
357,Condo for sale,94107,Sotheby's International Realty,1,1,814,749000,,,,,94107,749000,,,,,,
358,Townhouse for sale,94107,Corcoran Global Living,1,1,950,899000,,,,,94107,899000,,,,,,
360,Condo for sale,94107,Vanguard Properties,1,1,896,898888,,,,,94107,898888,,,,,,
361,Condo for sale,94107,Keller Williams San Francisco,2,2,1230,1239000,,,,,94107,1239000,,,,,,
362,Condo for sale,94107,Compass,1,1,485,263033,,,,,94107,263033,,,,,,
